timestamp,machine_id,vibration,acoustic,temperature,current,IMF_1,IMF_2,IMF_3,label,hour,day,day_of_week,temp_rolling_avg,vibration_rolling_avg,current_rolling_avg,status,prediction,predicted_status
2024-07-01 08:00:00,M01,0.822,0.645,66.85,13.04,0.196,0.033,0.0,0,8,2024-07-01,Monday,66.85,0.822,13.04,Normal,1,Normal
2024-07-01 08:01:00,M01,1.398,0.834,76.2,15.08,0.345,0.132,0.001,1,8,2024-07-01,Monday,71.525,1.11,14.06,Fault,-1,Fault
2024-07-01 08:02:00,M01,0.856,0.59,67.03,12.3,0.187,0.017,0.002,0,8,2024-07-01,Monday,70.02666666666666,1.0253333333333334,13.473333333333334,Normal,1,Normal
2024-07-01 08:03:00,M01,0.793,0.544,65.04,11.69,0.196,-0.06,0.003,0,8,2024-07-01,Monday,68.78,0.96725,13.0275,Normal,1,Normal
2024-07-01 08:04:00,M01,1.279,0.721,78.19,14.84,0.33,-0.115,0.004,1,8,2024-07-01,Monday,70.662,1.0295999999999998,13.39,Fault,-1,Fault
2024-07-01 08:05:00,M01,0.782,0.655,61.95,11.56,0.164,-0.081,0.005,0,8,2024-07-01,Monday,69.682,1.0215999999999998,13.094,Normal,1,Normal
2024-07-01 08:06:00,M01,0.837,0.564,64.52,10.98,0.238,-0.095,0.006,0,8,2024-07-01,Monday,67.346,0.9094,12.274,Normal,1,Normal
2024-07-01 08:07:00,M01,0.725,0.652,62.87,11.89,0.214,-0.076,0.007,0,8,2024-07-01,Monday,66.514,0.8832000000000001,12.192,Normal,1,Normal
2024-07-01 08:08:00,M01,0.803,0.702,64.51,11.19,0.145,-0.004,0.008,0,8,2024-07-01,Monday,66.40799999999999,0.8852,12.092,Normal,1,Normal
2024-07-01 08:09:00,M01,0.779,0.539,61.3,12.51,0.103,-0.025,0.009,0,8,2024-07-01,Monday,63.03,0.7852,11.626,Normal,1,Normal
2024-07-01 08:10:00,M01,0.897,0.627,67.18,11.18,0.093,0.097,0.01,0,8,2024-07-01,Monday,64.076,0.8082,11.55,Normal,1,Normal
